N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
135,녹십자,"187,500","6,000",+3.31%,"5,000","21,912","11,687",22.57,"53,463",19.08,10.30
136,롯데정밀화학,"84,300",300,+0.36%,"5,000","21,749","25,800",20.14,"60,768",3.79,30.43
137,씨에스윈드,"51,200",600,-1.16%,500,"21,592","42,171",10.81,"222,236",31.98,10.13
138,효성첨단소재,"478,000","2,500",+0.53%,"5,000","21,414","4,480",6.56,"15,774",8.10,54.69
139,한화생명,"2,410",0,0.00%,"5,000","20,932","868,530",7.19,"1,846,848",1.76,10.79
140,한화,"27,850",200,-0.71%,"5,000","20,876","74,959",15.44,"154,815",4.27,20.22
141,영원무역,"46,450",800,-1.69%,500,"20,583","44,311",28.43,"89,263",5.92,14.71
142,솔루스첨단소재,"65,800","1,800",-2.66%,100,"20,128","30,590",5.47,"154,170",275.31,4.00
143,현대로템,"18,400",100,+0.55%,"5,000","20,082","109,142",4.60,"275,671",27.42,5.01
144,LG화학우,"261,000","3,500",-1.32%,"5,000","20,068","7,689",70.73,"7,845",6.70,N/A
145,대웅제약,"168,500","5,000",+3.06%,"2,500","19,523","11,587",7.53,"19,389",31.80,4.39
146,TIGER 미국나스닥100,"68,020",185,-0.27%,0,"19,467","28,620",0.07,"261,523",N/A,N/A
147,DL이앤씨,"49,450",200,-0.40%,"5,000","19,134","38,694",20.72,"213,649",3.65,N/A
148,LS,"59,300","1,400",-2.31%,"5,000","19,095","32,200",12.81,"186,608",6.87,8.15
149,KODEX 단기채권PLUS,"103,880",5,0.00%,0,"18,968","18,260",0.00,"151,225",N/A,N/A
150,KODEX 200선물인버스2X,"2,615",15,-0.57%,0,"18,794","718,700",5.69,"111,701,279",N/A,N/A
151,휠라홀딩스,"30,400",0,0.00%,"1,000","18,469","60,752",37.76,"201,754",8.16,16.20
152,TIGER 200,"35,150",105,+0.30%,0,"18,260","51,950",0.00,"775,994",N/A,N/A
153,현대백화점,"77,500","1,200",+1.57%,"5,000","18,137","23,402",19.21,"51,715",9.58,4.36
