N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
81,팬오션,"7,890",80,-1.00%,"1,000","42,178","534,570",15.12,"2,273,202",6.41,17.16
82,GS,"45,200",800,-1.74%,"5,000","41,998","92,915",20.01,"188,715",2.95,15.55
83,메리츠금융지주,"31,000",700,-2.21%,500,"40,626","131,051",6.93,"137,221",5.26,22.33
84,한국가스공사,"43,400",250,-0.57%,"5,000","40,064","92,313",10.54,"137,207",3.42,11.63
85,메리츠증권,"5,950",20,+0.34%,"1,000","39,258","659,791",12.33,"723,787",5.10,15.77
86,쌍용C&E,"7,790",30,+0.39%,100,"39,251","503,860",3.23,"343,014",21.11,11.12
87,삼성카드,"33,200",100,-0.30%,"5,000","38,465","115,859",7.33,"35,699",6.98,7.53
88,한국금융지주,"67,600","1,600",-2.31%,"5,000","37,671","55,726",33.56,"115,439",2.36,27.12
89,오리온,"93,800",400,-0.42%,500,"37,085","39,536",35.34,"108,024",14.39,12.75
90,두산밥캣,"36,900",650,-1.73%,500,"36,992","100,249",24.57,"389,169",9.59,9.19
91,한진칼,"54,900",900,-1.61%,"2,500","36,652","66,761",14.67,"42,154",213.62,1.11
92,한미약품,"295,000","4,500",-1.50%,"2,500","36,338","12,318",13.18,"10,719",54.22,8.75
93,롯데지주,"33,750",450,-1.32%,200,"35,407","104,909",7.68,"79,790",11.58,4.61
94,아모레G,"42,700","1,000",-2.29%,500,"35,210","82,458",15.14,"104,284",22.77,5.49
95,현대오토에버,"126,500","1,500",-1.17%,500,"34,691","27,424",1.89,"38,892",46.82,7.26
96,TIGER 차이나전기차SOLACTIVE,"13,410",25,-0.19%,0,"33,943","253,120",0.64,"3,623,218",N/A,N/A
97,NH투자증권,"10,100",50,-0.49%,"5,000","33,498","331,666",14.66,"363,844",3.29,14.77
98,현대차2우B,"91,300",600,-0.65%,"5,000","33,311","36,485",60.87,"40,137",5.12,N/A
99,삼성증권,"37,100",750,-1.98%,"5,000","33,130","89,300",28.53,"224,155",3.43,16.94
100,DB하이텍,"73,700",500,-0.67%,"5,000","32,722","44,399",23.15,"869,508",7.67,33.35
101,BGF리테일,"187,000",0,0.00%,"1,000","32,321","17,284",31.26,"40,307",21.89,19.61
102,이마트,"114,500","5,000",-4.18%,"5,000","31,918","27,876",28.44,"195,243",2.03,16.25
103,GS건설,"37,200","1,200",-3.12%,"5,000","31,836","85,581",27.65,"493,171",7.76,9.32
104,한미사이언스,"45,950",850,-1.82%,500,"31,533","68,624",1.65,"52,157",73.40,6.37
105,현대미포조선,"78,100",200,+0.26%,"5,000","31,195","39,942",11.63,"134,321",-19.53,-7.11
106,한솔케미칼,"266,500","2,000",+0.76%,"5,000","30,208","11,335",35.53,"91,821",20.40,23.88
107,KCC,"339,500","3,000",-0.88%,"5,000","30,170","8,886",9.59,"17,853",-65.90,-0.92
108,호텔신라,"73,900","1,600",-2.12%,"5,000","29,004","39,248",13.01,"256,685",109.16,4.51
109,제일기획,"25,100",150,+0.60%,200,"28,875","115,041",31.48,"132,335",17.45,15.58
110,한화시스템,"15,250",200,-1.29%,"5,000","28,810","188,919",3.16,"160,685",24.21,6.04
111,CJ대한통운,"126,000","6,500",-4.91%,"5,000","28,744","22,812",18.61,"43,729",52.50,1.59
112,포스코인터내셔널,"22,850",100,-0.44%,"5,000","28,191","123,375",7.72,"208,670",6.58,10.86
113,한전기술,"73,600","1,200",-1.60%,200,"28,130","38,220",1.98,"106,505",171.16,3.25
114,롯데쇼핑,"97,900","3,100",-3.07%,"5,000","27,695","28,289",11.27,"90,779",-9.48,-2.94
115,현대해상,"30,650",400,-1.29%,500,"27,401","89,400",29.20,"214,235",6.33,8.82
116,GS리테일,"25,800",300,-1.15%,"1,000","27,017","104,718",6.74,"132,353",3.20,25.58
117,에스원,"70,400","1,200",-1.68%,500,"26,751","37,999",53.08,"35,520",20.74,9.13
118,동서,"26,500",200,-0.75%,500,"26,420","99,700",2.95,"28,971",23.18,8.05
